에코프로비엠,193200,하락5700,-2.87%,497450
알테오젠,272000,상승4500,+1.68%,467150
에코프로,95000,하락2100,-2.16%,996747
HLB,62800,하락400,-0.63%,824827
엔켐,271000,하락5000,-1.81%,190589
리노공업,261500,하락5000,-1.88%,105542
셀트리온제약,92200,하락600,-0.65%,36590
클래시스,51400,상승800,+1.58%,122954
레인보우로보틱스,168900,상승1200,+0.72%,99093
HPSP,38400,하락550,-1.41%,675927
실리콘투,50100,상승1050,+2.14%,890311
삼천당제약,126700,상승4900,+4.02%,974340
펄어비스,43900,보합0,0.00%,174784
휴젤,228500,하락5000,-2.14%,43872
솔브레인,308000,상승5000,+1.65%,23519
이오테크닉스,192200,하락3400,-1.74%,155817
리가켐바이오,64200,상승1600,+2.56%,253445
대주전자재료,146000,상승2400,+1.67%,689690
동진쎄미켐,42050,상승1300,+3.19%,342790
JYP Ent.,56900,하락300,-0.52%,213905
피엔티,85800,상승1600,+1.90%,600053
에스엠,81000,상승1000,+1.25%,77856
CJ ENM,85400,하락1500,-1.73%,31029
신성델타테크,66800,하락2100,-3.05%,191435
테크윙,48950,상승3250,+7.11%,840931
원익IPS,36600,상승1650,+4.72%,256333
피에스케이홀딩스,81000,상승2500,+3.18%,201767
에스티팜,89500,하락2900,-3.14%,198900
주성엔지니어링,35550,상승800,+2.30%,610206
LS머트리얼즈,24750,하락900,-3.51%,988202
카카오게임즈,20100,하락400,-1.95%,112032
티씨케이,137800,하락1600,-1.15%,69627
와이씨,19380,상승110,+0.57%,4132956
서진시스템,28500,하락500,-1.72%,333836
나노신소재,126100,상승700,+0.56%,190045
솔브레인홀딩스,73000,하락700,-0.95%,116734
ISC,68300,하락300,-0.44%,109974
파마리서치,138500,하락800,-0.57%,91868
제이앤티씨,24400,상승2300,+10.41%,10592455
루닛,47900,하락1700,-3.43%,271850
위메이드,39400,하락700,-1.75%,99135
브이티,37250,하락250,-0.67%,633983
파라다이스,14260,하락30,-0.21%,177255
레이크머티리얼즈,19090,하락480,-2.45%,362006
오스코텍,32950,상승50,+0.15%,111969
스튜디오드래곤,41400,상승100,+0.24%,27999
파크시스템스,178100,상승100,+0.06%,12088
케어젠,22950,하락600,-2.55%,81635
하나머티리얼즈,61800,상승2600,+4.39%,258620
하나마이크론,23150,상승1050,+4.75%,1484805
중앙첨단소재,13500,하락700,-4.93%,2923072
SOOP,104000,하락1900,-1.79%,57158
유진테크,52100,상승2300,+4.62%,131971
제룡전기,73000,하락400,-0.54%,417844
메지온,39250,하락1150,-2.85%,83404
